"공원번호","공원명","공원개요","면적","개원일","주요시설","주요식물","안내도","오시는길","이용시참고사항","이미지","지역","공원주소","관리부서","전화번호","X좌표(GRS80TM)","Y좌표(GRS80TM)","X좌표(WGS84)","Y좌표(WGS84)","바로가기"
"31","낙산근린공원","낙산은 서울의 형국을 구성하던 내사산(남산 인왕산 북악산 낙산)의 하나로 풍수지리상 주산인 북악산의 좌청룡에 해당하는 산이다. 이렇게 소중한 자연환경과 문화유산을 지니고 있는 낙산은 일제의 강점기를 거쳐 현재에 이르기까지 상당한 부분 파괴 ? 소실되었고 특히 60년대 이후의 근대화 과정에서 무분별한 도시계획으로 인해 아파트와 주택이 낙산을 잠식한 채 오랜 시간 방치되어 역사적 유물로서의 제 기능을 상실하게 되었다.","201779㎥ ","2002.6.12","기반시설 : 관리도로 2920m 산책로 1010m 주차장 640㎡ 교양시설 : 역사탐방로 935m 비우당 27㎡ 홍덕이밭 50㎡ 건축시설 : 5동(전시및관리실 매점및화장실 비우당 육각정자 노인정) 운동시설 : 배드민턴장 12면 농구장 1면 편익시설 : 파고라 5종 의자 117개 음수대(6) 화장실2 광 장 : 5개소(중앙광장 놀이광장 전망광장 3개소) 기타시설 : 안내판 등 29개 ","수목식재 : 소나무 등 47종 107603주 지피식물 : 구절초 등 11종 43075본 ","http://parks.seoul.go.kr/template/common/img/park_info/19_naksan/naksan_guide.jpg","지하철 4호선 혜화역 2번 출구 마로니에 공원기업은행 방향 (도보10분)  버스(G 지선 B 간선 R 광역 Y 순환) 혜화역 (마로니에공원) 정류장 하차. 마로니에 공원 기업은행 방향 (도보10분) G 1011 1012 1018 1019 2112 B 101 102 103 104 106 107 140 143 150 160 161 100 151 301 R 9101 9410 14호선 동대문역 5번 출구→마을버스 낙산종점 하차 G 종로03 6호선 창신역 3번 출구→마을버스 낙산종점 하차 G 종로03  주차장 주차가능 수 : 29대 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1908","종로구","서울특별시 종로구 낙산길 41 (우) 03085","중부공원녹지사업소","02-743-7985~6","200631.301","453432.556","127.007587","37.580477","http://parks.seoul.go.kr/template/sub/naksan.do"
"32","양재시민의숲","시민의숲은 우리나라 최초로 숲 개념을 도입한 공원으로 도심에서 보기 힘든 울창한 수림대를 품고 있어 시민들에게 훌륭한 녹색 휴식 공간을 제공하고 있다. 공원은 86 아시안 게임과 88 올림픽을 앞두고 당시 서울의 관문이었던 양재 톨게이트 주변 환경을 개선하기 위한 공원조성계획의 일환으로 1983년 착공에 들어가 1986년 11월 개장했다. 매헌로를 기준으로 시민들이 주로 이용하는 북측 구역과 다양한 위령탑 등이 들어서 있는 남측 구역으로 나뉘는데 북측 구역은 입구에 매헌윤봉길의사기념관이 있으며 울창한 숲이 있어 공원을 산책하는 시민들에게 사랑받는 공간이다. 연못과 분수 등의 수경시설과 어린이놀이터 다양한 운동시설이 있고 야외 예식장과 바비큐장이 있는 것도 커다란 특징이다. 남측 구역에는 유격 백마부대 충혼탑과 1987년 미얀마 안다만해협 상공에서 북한의 테러로 폭파된 대한항공 858편의 위령탑 1995년 삼풍백화점 붕괴로 사망한 희생자와 유족들을 위로하기 위해 세운 위령탑이 있다.","258991㎡   ","1986.11.30","조경시설 : 잔디광장 파고라 그늘시렁 운동시설 : 배구장(족구장 겸용) 농구장 테니스장 등 편익시설 : 매점 야외 바비큐장 음수대 화장실 5개소 등 기        타 : 야외 예식장 윤봉길의사 기념관 윤봉길의사 동상 야외무대 백마부대 충혼탑                      대한항공 858편 위령탑 삼풍백화점 희생자 위령탑 등 ","수 목 : 소나무 느티나무 당단풍 칠엽수 잣나무 등 43종 94800주","http://parks.seoul.go.kr/cheditor/attach/20111007/kPbbcCJs.jpg","지하철 2호선 강남역 6번출구 뉴욕제과방향으로 나와서 버스 이용 3호선 양재역 7번출구 성남방향으로 나와서 버스 이용 신분당선 시민의숲 공원 역(매헌역)1번5번 출구  버스(G 지선 B 간선 R 광역 Y 순환) G 4421 4422 4423 4424 5411 B 140 400 470 471 R 1550 9100 9200 9300 9400 9404 9405 9406 9408 9410 9411 9412 9503 9700 [경기 도시형버스] 11-3 11-6 901 1550 [경기 직행좌석버스] 1005-1 1005-5 1550-1 1560 3000 3000-1 3001 3003 3007 3030 5100 5100-1 9700 [경기 좌석버스] 1500-1 1500-3 5002 5500-1 5500-2 6800  승용차 승용차 이용시 매헌기념관 앞 또는 강남대로변의 시민의 숲 주차장을 유료로 이용할 수 있습니다.  매헌윤봉길기념관 주차장 주차가능 수 : 54 대 주차장 면적 : 1500㎡ 주차요금 : 매 10분마다 300원 ~ 450원 주차장 요금     1회 주차  월 정기권   매 5분당 주간 야간  150원 100000원 40000원   1일 주차요금은 10000원을 초과하지 않으며야간 주차장 무료 개방(21:00-09:00) 시민의숲 동축주차장과 관련없습니다.  ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1909","서초구","서울특별시 서초구 매헌로 99 (양재동)","서초구청 공원녹지과","02-575-3895","203226.694","441171.435","127.035042","37.471225","http://parks.seoul.go.kr/template/sub/citizen.do"
"36","관악산도시자연공원","관악산은 서울시 관악구 신림동과 금천구 시흥동 독산동과 경기도 안양시 과천시에 걸쳐있다. 관악산(높이 629m)은 1973년 관악구가 영등포구에서 분리되면서 명산으로서의 산 이름이 구의 명칭이 되어 관악구의 상징이자 자랑이 되고 있으며 관악구 문화유산의 대부분이 관악산에서 비롯되었다. 1968년에 건설부 고시 제34호로 도시자연공원으로 지정되었으며 오늘날에는 수많은 서울 시민들이 즐겨 찾는 휴식처로 서울의 명소가 되었다.  관악산 정상에는 지상 레이더 관측소와 조선 태조 이성계가 서울을 도읍지로 정할 때 연주사와 원각사 두 절을 지어 화환(火患)에 대처했다고 하는 정상의 원각사와 연주암을 비롯하여 크고 작은 사찰과 암자가 있는데 아슬아슬한 벼랑 위에 자리 잡고 있는 연주대는 관악산의 모든 등산로가 집결하는 곳이다. ","10420819.08㎡","1968.1.15","낙성대 연주대 삼막사 관음사 관악산호수","특산식물 : 소사나무 호랑버들 매화말발도리 산앵도 산개나리 병꽃나무 회양목 긴잎회양목 산구절초 할미밀빵 토현삼 등 11종 희귀식물 : 산구절초 박주가리 용담 노루발풀 천연기념물 : 노거수 굴참나무 은행 느티 회나무 ","","지하철 2호선서울대입구역 3번 출구 연계버스 5511 5528 501 651 6511(만남의광장 출발) 24호선사당역 45번 출구(관음사 출발)  버스(G 지선 B 간선 R 광역 Y 순환) 연계버스 G 142 95 300 142  접근방법 제1등산로 : 사당역 4번출구에서 관음사까지 도보 제2~6등산로 : 서울대입구역 2번출구에서 서울대방향 버스 승차 후 서울대정문 버스정류장 하차 제7~8등산로 : 삼성산성지 정류장 하차(65145517버스)  주차장 주차가능 수 : 153 대 10분당 300원 1시간 1800원(09:00?18:00는 유료 18:00 이후 이용시간 관계없이 1000원 연중무휴) ","공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.     코스설명   구 분   거 리   소요시간   경 로    제1등산로   4.5km   140분   관음사▶돼지바위▶연주대    제2등산로   3.8km   120분   제1광장▶아카시아동산▶제4야영장▶연주샘  ▶깔딱고개▶연주대    제3등산로   0.9km   15분   제4야영장▶삼거리▶무너미고개    제4등산로   1.9km   65분   제2광장▶철쭉동산▶삼막정▶삼거리▶깔딱고개    제5등산로   0.8km   25분   철쭉동산▶제2깔딱고개▶제4야영장    제6등산로   2.8km   70분   경로구역▶돌산▶용암천▶국기봉▶제1야영장    제7등산로   1.5km   55분   활터▶제3야영장▶제2야영장▶제1야영장    제8등산로   1.4km   50분   삼성산▶성지▶삼호약수▶송암약수▶제1야영장    제9등산로   1.2km   40분   삼거리약수터▶거북바위▶삼막사정상    ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1910","관악구","서울특별시 관악구 관악로 1(관악산공원)","관악구청 공원녹지과","02-2627-1653","196801.464","438408.982","126.96413","37.445208",""
"37","효창근린공원","효창원(孝昌園)은 본래 조선조 22대 정조대왕(正祖大王)의 장남인 문효세자(文孝世子)와 그의 생모(生母)인 의빈(儀嬪) 성(成)씨와 순조(純祖)의 후궁 숙의(淑儀) 박(朴)씨 및 영온 옹주(永溫翁主)의 묘가 안장되었으나 일제의 간교하에 사적(史蹟)의 격하를 위해 1924년 경성부가 효창원 일부를 공원으로 개발하고 1940년 총독부고시 제208호에 의해 공원으로 지정되었다. 일제 말기 세자 묘를 경기도 고양시 소재 서삼릉(西三陵)에 강재로 옮김에 따라 효창원은 효창공원이 되었다.  광복과 더불어 환국한 임시정부 주석인 백범(白凡) 김구(金九)선생이 조국 광복을 위해 기꺼이 목숨을 바친 이봉창(李奉昌) 윤봉길(尹奉吉) 백정기(白貞基) 의사(義士)의 유해와 안중근(安重根)의사의 가묘(假墓)를 1946년 7월 효창공원에서 국민장(國民葬)으로 지금의 삼의사 묘역에 안장하였고 1948년 9월에는 중국 땅에서 순국한 임시정부 의장과 주석을 지낸 이동녕(李東寧) 국무원비서장(國務院秘書長)을 지낸 차이석(車利錫)선생의 유해와 군무부장(軍務部長)을 역임하고 귀국 후 서거한 조성환(曺成煥)선생을 지금의 임정요인 묘역에 안장시켰다. 1949년 6월에는 김구선생이 흉탄에 쓰러지자 그해 7월 5일 국민장으로 공원 서북쪽 언덕에 안장하였다. 이후 이 일대가 독립운동에 앞장선 선열들의 묘역으로 자리 잡게 되었다.  1978년 3월 10일 효창공원 순국선열추모위원회가 발족된 후 임시정부 수립일인 4월 13일을 7위선열 합동추모제로 매년 봉행되고 있으며 1988년 11월 정부주도하에 효창공원 정비공사가 추진되어 의열사(義烈祠)와 창열문(彰烈門)이 건립되었고 1989년 6월에는 사적제330호로 지정되었다. 현재 효창공원에는 선열묘역과 공원관리사무소 어린이놀이터 배드민턴장 체육시설등의 편의시설과 반공투사위령탑 원효대사상 백범기념관 대한노인회등이 자리 잡고 있다. ","171294.1㎥","1940.3.12","관리시설 : 관리사무소 공원등 안내판 편의시설 : 매점 공중전화 화장실 음수대 야외탁자 의자 시계탑 조경시설 : 자연학습장 연못 데크로드 운동시설 : 농구장 배드민턴장 게이트볼장 체력단련시설 유희시설 : 어린이놀이터 휴양시설 : 정자 파고라 교양(사적)시설 : 의열사 백범김구선생 묘역 삼의사묘역 임정요인묘역 백범기념관 이봉창의사 동상 반공투사 위령탑 원효대사상","수목 : 소나무 백철쭉 등 70여종 115139주 교목 : 소나무 등 30여종 34192주 관목 : 백철쭉 등 40여종 80947주 초화류 : 맥문동 등 30여종 570463본","http://parks.seoul.go.kr/template/common/img/park_info/101_hyochang/hyochang_guide.jpg","지하철 6호선 효창공원역 하차 1 2번 출구(도보 10분 소요) 4호선 숙대입구역 하차 8 9번 출구(도보 20분 소요)  버스(G 지선 B 간선 R 광역 Y 순환) 효창공원 후문/ 숙대 후문 하차 G 0015 0016 마포17 효창운동장 입구 하차 G 0015 0016 마포17  승용차 공덕동로터리에서 삼각지 방향 효창공원역 사거리에서 좌회전→숙대방향으로 300m 직진 좌측에 위치 원효로 용산구청앞 사거리에서 좌회전(우회전) 공덕동로터리 방향→효창공원역 사거리에서 우회전 숙대방향으로 300m 직진 좌측에 위치  주차장 공원주차장이 없으니 효창운동장 주차장을 이용바랍니다. 이용시간 : 24시간개방 이용요금 : 10분당 300원 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1912","용산구","서울특별시 용산구 효창원로 177-18","용산구청 공원녹지과","02-2199-7608","196484.925","449520.541","126.95993","37.545234",""
"39","감로천생태공원(관악산)","감로천 생태공원내 생태연못은 도시화로 훼손되어 사라진 자연적인 습지를 대신하여 다양한 생물들이 서식할 수 있는 인공습지 유형 중의 하나로 자연수림의 복원은 물론 기존 지형을 이용하여 지역 주민들이 일상적인 생활에서 쉽게 이용할 수 있는 공간으로 조성되어져 있으며 목재 데크에서 연못의 수생식물과 다양한 동?식물 등을 관찰할 수 있고 황톳길을 따라 산책하기 좋다.","총 15000㎡","2002.7.15","연못 3개소 목재 데크 황토길 지압로 공원등(12)","수 목 : 물철쭉 진달래 생강나무 단풍나무 초 화 : 비비추 벌개미취 노루오줌 연꽃 물옥잠 붕어마름 골풀 개구리밥 갈대 ","","버스(G 지선 B 간선 R 광역 Y 순환) 독산4동 주민센터 앞에서 하차 → 정심초등학교 방면 10분 G 5620 5619 독산정훈단지 앞에서 하차 → 정심초등학교 방면 15분 B 505 마을버스 → 8번(금천문화체육센터 정문앞 하차)  문의전화 금천구청 공원녹지과 ☏2627-1653  주차장 주차가능 수 : 15대 주차장 면적 : 약 400㎡ ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1913","금천구","서울특별시 금천구 독산4동 371?375 373일대","감로천생태공원","02)2627-2395~7","191868.836","440976.325","126.9079509","37.469625",""
"40","개운산근린공원","개운산공원은 1940년 3월 12일 지정된 마을동산 성격의 산지형 공원이다. 돈암동 안암동 종암동 등으로 둘러 쌓여 있으며 성신여자대학교와 고려대학교가 인접하여 있고 면적은 297926㎡이며 공원인근에는 개운산스포츠센터가 위치하고 있다. 산 형세는 자연스런 형태로 힘들지 않게 산책할 수 있으며 운동장이 있어 축구 게이트볼 배드민턴 테니스 등 운동을 할 수 있다. 전에는 아까시나무와 현사시나무가 많았으나 도시환경림 조성으로 불량수목을 제거하고 잣나무 참나무류 팥배나무 산벚나무 등 많은 수목 등이 자라고 있다. 개운산은 나라의 운명을 새롭게 열었다는 뜻의 개운사 절이 있어 붙여진 이름이다. 또 안암동에 있어‘안암산’으로 종암1동의 진씨(陳氏) 성을 가진 사람의 채석장이 있어‘진석산(陳石山)’으로도 불리운다. 공원내에는 향토수목 32종 3290주가 식재되어 있어 자연학습관찰로를 조성하여 어린이 및 학생들이 이용하고 있다. 개운산운동장에는 2003년에 66m의 지압보도와 정자 및 핸드레일을 설치하고 주변에 나무를 심어 가족이 함께 운동과 휴식을 겸할 수 있는 공원으로 많은 시민들이 이용한다.","297926㎡","1995.5.3","공원이용지원센터 화장실 산책로(산마루길 목재데크산책로 오솔길 등) 자연학습장 지압보도 축구장 배드민턴장 족구장 정자 등","수 목 : 잣나무 참나무류 팥배나무 산벚나무","http://parks.seoul.go.kr/template/common/img/park_info/04_gaeun/gaeun_guide.jpg","지하철 4호선 성신여대역(6번출구) 6호선 고려대역(2번출구)  버스(G 지선 B 간선 R 광역 Y 순환) G 성북20번 개운중학교 하차 B 103108109152 미아리고개 하차 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1914","성북구","서울특별시 성북구 북악산로 949-73(돈암동 6-1)","성북구청 공원녹지과","02-2241-3667","202301.921","455244.032","127.0252858","37.5965837",""
"41","개웅산근린공원","개웅산공원은 서울시 개봉동 일대와 오류동에 인접한 개웅마을의 지형이 움푹 들어간 관계로 난리 때마다 총탄이 개웃개웃 피해 가서 개웅마을이라 불리고 산 이름도 붙여졌다고 한다. 서울시의 오류동과 개봉동 경계에 위치하고 능선이 세 방향으로 뻗어 내려 삼각형 모양을 이루고 있는 산으로서 산 전체가 단풍나무 아까시나무 소나무 참나무 등 다양한 식생이 잘 보존된 전형적인 자연상태의 공원이다.  연간 100000여 명의 시민들이 개웅산을 이용하고 있으며 등산로 주변에 약수터와 배드민턴장 체력단련장 허리 돌리기 등 운동기구와 의자 등 휴게시설이 등산로 곳곳에 설치되어 많은 시민들로부터 좋은 반응을 얻고 있다. 매년 이용시민의 수가 늘어남에 따라 2006년에 쾌적하고 아름다운 공원으로 조성하였다. ","411972㎡","1971.8.6","배드민턴장 철봉 허리돌리기 역기 등 운동기구","","http://parks.seoul.go.kr/template/common/img/park_info/05_gaewoong/gaewoong_guide.jpg","지하철 1호선 개봉역 하차 후 마을버스 구로03 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다 ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1915","구로구","서울특별시 구로구 오류동 산13-1","구로구청 공원녹지과","02-860-3086","186361.511","443134.517","126.8485734","37.4888943",""
"45","경희궁","경희궁(慶熙宮)은 조선 후기의 이궁(離宮)이었다. 1617년(광해군 9)부터 짓기 시작하여 1623년(광해군 15)에 완성 하였다. 경희궁의 처음 명칭은 경덕궁(慶德宮)이었으나 원종의 시호인 경덕(敬德)과 같은 발음이라 하여 1760년(영조 36) 경희궁으로 바뀌었다. 경희궁은 도성의 서쪽에 있다고 하여 서궐(西闕)이라고도 불렀는데 이는 창덕궁과 창경궁을 합하여 동궐(東闕)이 라고 불렀던 것과 대비되는 별칭이다. 인조 이후 철종에 이르기까지 10대에 걸쳐 임금들이 경희궁에 머물렀는데 특히 영조는 치세의 절반을 이곳에서 보냈다. 경희궁에는 정전인 숭정전을 비롯하여 편전인 자정전 침전인 융복전 회상전 등 100여 동의 크고 작은 건물이 있었다. 그러나 일제가 대한제국을 강점하면서 경희궁은 수난의 역사를 맞이하였다. 1910년 일본인 학교였던 경성중학교가 들어서면서 대부분의 궁궐 건물이 헐려 나갔고 그 면적도 절반 정도로 축소되어 궁궐의 모습을 잃어버렸다. 서울특별시에서는 경희궁지에 대한 발굴을 거쳐 숭정전 등 정전 지역을 복원하여 2002년부터 시민들에게 공개하고 있다. ","98470㎡","2002","자정전 흥화문 (서울특별시 유형문화재 제19호) 숭정전","","","지하철 5호선서대문역 4번출구 광화문역 7번출구 도보 5?10분  주차장 주차가능 수 : 146 대 주차장 면적 : 3171㎡ ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1918","종로구","서울특별시 종로구 새문안로 55(신문로2가 2-1)","종로구청 공원녹지과","02-2148-4144","197240.742","452357.669","126.9685341","37.570773",""
"46","국립현충원","동작구 동작동에 위치한 국립현충원은 국가와 민족을 위해 순국한 호국영령들이 잠들어 있는 민족의 성역이다. 이곳은 관악산 기슭의 공작봉을 주봉으로 하여 정기어린 능선이 병풍치듯 3면을 감싸고 앞으로는 한강수가 굽이쳐 도는 풍수상 명당으로 손꼽히는 포근한 땅이다. 2003년 현재 국립현충원에는 국가원수 2위 임정요인 17위 애국지사 1693위 국가유공자 120위 장군 513위 장.사병 73919위 경찰 2886위의 묘소와 108793위의 위패를 봉안하고 있다.","2038741.3㎡","1955.7.15","현충관 현충탑 충열대 충성분수대 호국분수탑 충혼승천상 휴게소","소나무 느티나무 은행나무 마가목 자작나무 무궁화 좀작살 라일락 산수유 구상나무 계수나무 단풍나무 아까시나무","","지하철 4호선 동작역 하차(24번출구) 도보 5분 9호선 동작(현충원)역 하차(8번 출구)  버스(G 지선 B 간선 R 광역 Y 순환) G 4511 5524 6411 R 8342 360 361 362 363 462 640 642 R 9408  승용차 경부 고속도로 : 반포IC지나서 올림픽도로 김포공항 방향 → 반포대교 지나 국립서울현충원 방향(약 3분) 중부고속도로 : 하남IC지나서 올림픽도로 김포공항 방향 → 반포대교 지나 국립서울현충원 방향(약3분) 해안 고속도로 : 서서울톨게이트 → 성산대교 방향 → 노들길 국립서울현충원 방향(약15분) 경인 고속도로 : 신월IC지나서 국회의사당 방향 → 노들길 수산시장. 국립서울현충원 방향(약10분) 강변북로(일산) : 동작대교 진입 남단에서 국립서울현충원 방향(약2분) 강변북로(천호 동부간선도로(의정부 상계동) : 성수대교 → 올림픽도로 김포공항 방면 국림서울현충원  주차장 100대 주차 가능 면적 : 2000㎡  문의처 국립서울현충원 02)815-0625 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1919","동작구","서울특별시 동작구 사당2동 산41-2","국립현충원","02-826-6235","197554.306","444488.109","126.9736849","37.4998621",""
"47","계남근린공원","휴식공간 양천구 신정동과 구로구 고척동 일대의 옛지명인 부평군 계남면의 지명을 따서 계남공원으로 명명되었으며 계남은 계양산의 남쪽에 위치하였다는 뜻으로 전해진다. 계남공원내 정랑고개는 양천구청에서 금옥여중 고등학교로 넘어가는 고개를 말한다. 정확한 이름과 유래는 알 수가 없으나 사람들은 이 고개를 정릉 정랑 정녕 등으로 제각기 부르고 있다. 옛날 장안에서 인천까지 걸어가는 지름길로서 넘은 첫고개이며 그 옆은 성넘어라 부르고 있다. 그런데 사람들은 정랑고개가 옛날 신기(신트리)마을 근처에 있다하여『신트리고개』라고 부르는 사람도 있다.","603715.2㎡","1971.8.6","장군정(정상) 1동 다목적구장(실내 배드민턴장) 생태연결통로(계남12공원 연결) 조류사육장 1개소 야외무대 약수터 3개소 각종운동시설(게이트볼장 족구장 등) 화장실 2개동 ","소나무 참나무 잣나무","http://parks.seoul.go.kr/cheditor/attach/20110216/hxIQuzEY.jpg","지하철 5호선 양천구청역 신정네거리역  버스(G 지선 B 간선 R 광역 Y 순환) 오목교 역 ? 금옥여고 앞 G 6640 오목교 역 ? 서부트럭터미널 G 5012 양천구청 ? 금옥여고 앞 G 662066236640  주차장 주차가능 수 : 40대 주차장 면적 : 480㎡ ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1920","양천구","서울특별시 양천구 신정동 산44-2일대","양천구청 공원녹지과","02-2620-3575","186587.030","445953.762","126.8479643","37.5138358",""
"48","고척근린공원","1988년 12월에 조성한 구로구의 유일한 종합공원으로 도서관 체육센터 경로당 축구장 테니스장 배드민턴장 광장 야외무대 시설이 있으며 연평균 50000명이 이용하고 있다.   공원 전체 면적 중 약 25000㎡가 임야 상태로 보존되어 있고 산책로 주변에는 운동시설이 있으며 고척도서관은 1988년 12월에 개관하여 176000권의 장서와 864개 좌석을 보유하고 운영 중에 있다. 또한 1993년 12월에 개원한 구로구민체육센터는 실내 수영장 체력단련장 에어로빅장 체육관 등을 갖추고 지역주민들의 건강증진과 생활체육 활성화 공간으로 이용하고 있다. ","108120㎡","1988.12","도서관 어린이놀이터 배드민턴장 테니스장 운동장 조깅트랙 구민체육센터 운동기구 농구장","소나무 섬잣나무 계수나무 36종 16462주","http://parks.seoul.go.kr/template/common/img/park_info/09_gochuk/gochuk_guide.jpg","지하철 1호선 개봉역 하차 도보로 20분  버스(G 지선 B 간선 R 광역 Y 순환) 개봉동방면 G 6613 5626  주차장 주차가능 수 : 32대 ","일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ","http://parks.seoul.go.kr/file/info/view.do?fIdx=1921","구로구","서울특별시 구로구 고척로45길 39(고척공원)","구로구청 공원녹지과","02-860-3086","186938.035","445175.775","126.8521495","37.5042944",""
